artifact,category
app.cash.sqldelight:native-driver-tvosarm64,Computing Foundations
com.ibm.mq:dhbcore,Computing Foundations
org.twister2:config-api-java,Computing Foundations
io.jaegertracing:jaeger-thrift,Computing Foundations
com.github.hazendaz.httpunit:httpunit,Computing Foundations
io.ktor:ktor-client-darwin-tvossimulatorarm64,Computing Foundations
org.wso2.mercury:mercury-mar,Computing Foundations
com.oracle.ojdbc:ucp,Computing Foundations
com.aayushatharva.brotli4j:brotli4j,Computing Foundations
openorb:openorb-orb-omg,Computing Foundations
ufcheck:ufcheck_2.9.0-1,Computing Foundations
org.fosstrak.llrp:llrp-adaptor,Computing Foundations
org.openscada.jinterop:org.openscada.jinterop.deps,Computing Foundations
org.jboss.serialization:jboss-serialization,Computing Foundations
jdk:jdk.dio,Computing Foundations
co.touchlab:stately-common-tvosx64,Computing Foundations
com.disneystreaming.smithy4s:smithy4s-core_2.12,Computing Foundations
com.github.hazendaz.catch-exception:catch-exception,Computing Foundations
es.moki.ratelimitj:test,Computing Foundations
io.smallrye.reactive:smallrye-mutiny-vertx-sql-client,Computing Foundations
org.elasticmq:elasticmq-common-test_2.12,Computing Foundations
com.mysql.jdbc:com.springsource.com.mysql.jdbc,Computing Foundations
org.apache.jmeter:jmeter,Computing Foundations
com.jfirer:Fse,Computing Foundations
de.tudarmstadt.ukp.dkpro.core:de.tudarmstadt.ukp.dkpro.core.matetools-model-morphtagger-fr-ftb,Computing Foundations
co.touchlab:sqliter-driver-watchosx86,Computing Foundations
com.cloudera.api.swagger:cloudera-manager-api-swagger,Computing Foundations
io.ktor:ktor-network-tvosarm64,Computing Foundations
samtools:samtools,Computing Foundations
com.benasher44:uuid-tvosx64,Computing Foundations
org.noear:solon-web,Computing Foundations
androidx.room:room-testing,Computing Foundations
org.jetbrains.plugins:Groovy,Computing Foundations
com.oracle.oc4j:ucp,Computing Foundations
org.neo4j:neo4j-rest-graphdb,Computing Foundations
org.scala-tools:sbt-full-launcher,Computing Foundations
com.jfinal:jfinal-e7du,Computing Foundations
io.ktor:ktor-client-core-tvossimulatorarm64,Computing Foundations
org.r358.poolnetty:common,Computing Foundations
com.arangodb:serde-api,Computing Foundations
com.ardikars.common:common-util,Computing Foundations
app.cash.sqldelight:runtime-macosx64,Computing Foundations
p2.eclipse.plugin:org.eclipse.wst.common.project.facet.core,Computing Foundations
org.jredis:jredis-core-api,Computing Foundations
com.squareup.sqlbrite:sqlbrite,Computing Foundations
net.percederberg:mibble-parser,Computing Foundations
org.webjars.npm:v8-profiler,Software Architecture
org.webjars.bower:ws,Software Architecture
org.webjars.npm:prosemirror-changeset,Software Architecture
org.webjars.npm:dom-helper,Software Architecture
org.webjars.npm:linear-layout-vector,Software Architecture
org.webjars.npm:victory-scatter,Software Architecture
org.webjars.npm:underscore.deferred,Software Architecture
org.webjars.npm:remotedev-utils,Software Architecture
org.webjars.npm:types__react-day-picker,Software Architecture
org.webjars.bower:domexception,Software Architecture
org.webjars.npm:xmlhttp-request,Software Architecture
org.webjars.bower:npm-check-updates,Software Architecture
org.webjars.bower:vega-lib,Software Architecture
org.webjars.npm:polymer__iron-autogrow-textarea,Software Architecture
org.webjars.bower:optionator,Software Architecture
org.webjars.bower:vega-view,Software Architecture
org.webjars.bower:github-com-brandwatchltd-timepicker,Software Architecture
org.webjars.npm:github-com-daviferreira-scroll-to-y,Software Architecture
org.webjars.npm:comunica__actor-rdf-metadata-triple-predicate,Software Architecture
org.webjars.npm:esbuild-freebsd-64,Software Architecture
org.webjars.npm:jbone,Software Architecture
org.webjars.bower:github-com-metal-metal-autocomplete,Software Architecture
org.webjars.npm:public-encrypt,Software Architecture
org.webjars.npm:ng2-slideable-directive,Software Architecture
org.webjars.npm:postcss-value-parser,Software Architecture
org.webjars.npm:basscss-padding,Software Architecture
org.webjars.npm:simple-dom__document,Software Architecture
org.webjars.bower:github-com-polymer-polymer,Software Architecture
org.webjars.npm:broccoli-funnel-reducer,Software Architecture
org.webjars.npm:workday__canvas-kit-css-modal,Software Architecture
org.webjars.npm:normalize.less,Software Architecture
org.webjars.bower:husky,Software Architecture
org.webjars.bower:yarn,Software Architecture
org.webjars.npm:ngraph.tojson,Software Architecture
org.webjars.npm:haml-coffee,Software Architecture
org.webjars.bower:babel__polyfill,Software Architecture
org.webjars.npm:broccoli-unwatched-tree,Software Architecture
org.webjars.bower:github-com-ExpandJS-mat-progress,Software Architecture
org.webjars.npm:jison,Software Architecture
org.webjars.npm:biojs-events,Software Architecture
org.webjars.npm:knex-postgis,Software Architecture
org.webjars.npm:stoplight__mosaic-code-editor,Software Architecture
org.webjars.bower:github-com-ExpandJS-xp-spinner-behavior,Software Architecture
